Frame,Person_Id,Time
103,3,0:4.12
103,4,0:4.12
104,3,0:4.16
104,4,0:4.16
105,3,0:4.2
105,4,0:4.2
106,3,0:4.24
106,4,0:4.24
107,3,0:4.28
107,4,0:4.28
108,3,0:4.32
108,4,0:4.32
109,3,0:4.36
109,4,0:4.36
110,3,0:4.4
110,4,0:4.4
111,3,0:4.44
111,4,0:4.44
112,3,0:4.48
112,4,0:4.48
113,3,0:4.52
113,4,0:4.52
114,3,0:4.56
114,4,0:4.56
115,3,0:4.6
115,4,0:4.6
116,3,0:4.64
116,4,0:4.64
117,3,0:4.68
117,4,0:4.68
118,3,0:4.72
118,4,0:4.72
119,3,0:4.76
119,4,0:4.76
120,3,0:4.8
120,4,0:4.8
121,3,0:4.84
121,4,0:4.84
122,3,0:4.88
122,4,0:4.88
123,3,0:4.92
123,4,0:4.92
124,3,0:4.96
124,4,0:4.96
125,3,0:5.0
125,4,0:5.0
126,3,0:5.04
126,4,0:5.04
127,3,0:5.08
127,4,0:5.08
128,3,0:5.12
128,4,0:5.12
129,3,0:5.16
129,4,0:5.16
130,3,0:5.2
130,4,0:5.2
131,3,0:5.24
131,4,0:5.24
132,3,0:5.28
132,4,0:5.28
133,3,0:5.32
133,4,0:5.32
134,3,0:5.36
134,4,0:5.36
135,3,0:5.4
135,4,0:5.4
136,3,0:5.44
136,4,0:5.44
137,3,0:5.48
137,4,0:5.48
138,3,0:5.52
138,4,0:5.52
139,3,0:5.56
139,4,0:5.56
140,3,0:5.6
140,4,0:5.6
141,3,0:5.64
141,4,0:5.64
142,3,0:5.68
142,4,0:5.68
143,3,0:5.72
143,4,0:5.72
144,3,0:5.76
144,4,0:5.76
145,3,0:5.8
145,4,0:5.8
146,3,0:5.84
146,4,0:5.84
147,3,0:5.88
147,4,0:5.88
148,3,0:5.92
148,4,0:5.92
149,3,0:5.96
149,4,0:5.96
150,3,0:6.0
150,4,0:6.0
151,3,0:6.04
151,4,0:6.04
152,3,0:6.08
152,4,0:6.08
153,3,0:6.12
153,4,0:6.12
154,3,0:6.16
154,4,0:6.16
155,3,0:6.2
155,4,0:6.2
156,3,0:6.24
156,4,0:6.24
157,3,0:6.28
157,4,0:6.28
158,3,0:6.32
158,4,0:6.32
159,3,0:6.36
159,4,0:6.36
160,3,0:6.4
160,4,0:6.4
161,3,0:6.44
161,4,0:6.44
162,3,0:6.48
162,4,0:6.48
163,3,0:6.52
163,4,0:6.52
164,3,0:6.56
164,4,0:6.56
165,3,0:6.6
165,4,0:6.6
166,3,0:6.64
166,4,0:6.64
167,3,0:6.68
167,4,0:6.68
168,3,0:6.72
168,4,0:6.72
169,3,0:6.76
169,4,0:6.76
170,3,0:6.8
170,4,0:6.8
171,3,0:6.84
171,4,0:6.84
172,3,0:6.88
172,4,0:6.88
173,3,0:6.92
173,4,0:6.92
174,3,0:6.96
174,4,0:6.96
175,3,0:7.0
175,4,0:7.0
176,3,0:7.04
176,4,0:7.04
177,3,0:7.08
177,4,0:7.08
178,3,0:7.12
178,4,0:7.12
179,3,0:7.16
179,4,0:7.16
180,3,0:7.2
180,4,0:7.2
181,3,0:7.24
181,4,0:7.24
182,3,0:7.28
182,4,0:7.28
183,3,0:7.32
183,4,0:7.32
184,3,0:7.36
184,4,0:7.36
185,3,0:7.4
185,4,0:7.4
186,3,0:7.44
186,4,0:7.44
187,3,0:7.48
187,4,0:7.48
188,3,0:7.52
188,4,0:7.52
189,3,0:7.56
189,4,0:7.56
190,3,0:7.6
190,4,0:7.6
191,3,0:7.64
191,4,0:7.64
